onset	duration	trial_type	value	sample
385.3354	0.0	trigger	1	1926677
385.3978	0.0	missing_trigger	6	1926989
385.3978	0.0	trigger	1	1926989
385.4604	0.0	missing_trigger	6	1927302
385.4604	0.0	trigger	1	1927302
385.5228	0.0	missing_trigger	6	1927614
385.5228	0.0	trigger	1	1927614
385.5852	0.0	missing_trigger	6	1927926
385.5852	0.0	trigger	1	1927926
385.6478	0.0	missing_trigger	6	1928239
385.6478	0.0	trigger	1	1928239
385.7102	0.0	missing_trigger	6	1928551
385.7102	0.0	trigger	1	1928551
385.7728	0.0	missing_trigger	6	1928864
385.7728	0.0	trigger	1	1928864
385.8352	0.0	missing_trigger	6	1929176
385.8352	0.0	trigger	1	1929176
385.8976	0.0	missing_trigger	6	1929488
385.8976	0.0	trigger	1	1929488
385.9608	0.0	trigger	1	1929804
385.9608	0.0002	Response/R128	3	1929804
386.0232	0.0	missing_trigger	6	1930116
386.0232	0.0	trigger	1	1930116
